axis,composite_score,n_total_traits,n_significant_traits,pct_significant_traits,mean_abs_cohen_d,max_abs_cohen_d,mean_exceedance_rate,top_trait,top_direction
anxious,9.635955039627856,50,24,0.48,0.40149812665116064,0.7201521371584808,0.2733333333333334,playful,+
moderate,9.63237075910677,50,28,0.56,0.3440132413966704,0.6580126557736423,0.3213525835866261,playful,-
concise,9.538391264734322,50,26,0.52,0.3668612024897816,0.8762231219074323,0.33444637321072435,verbose,-
melodramatic,9.45065499225727,50,26,0.52,0.3634867304714335,0.6953114577177965,0.34825718434501024,playful,+
neurotic,9.398285399917354,50,25,0.5,0.37593141599669416,0.6896557420976337,0.3315999999999999,playful,+
cryptic,9.141640321282877,50,23,0.46,0.3974626226644729,0.6597556208527879,0.31546920691447133,formal,+
abstract,8.772343484938204,50,22,0.44,0.3987428856790093,1.0576577181380746,0.26067717996289425,formal,+
impulsive,8.720630050184235,50,24,0.48,0.36335958542434316,0.7102081915635231,0.35874999999999996,playful,+
cruel,8.572403594462948,50,24,0.48,0.3571834831026228,0.5627006581098702,0.24666666666666673,anxious,-
nurturing,8.306618529213631,50,24,0.48,0.3461091053839013,0.6839244492284643,0.2127040816326531,inspirational,+
curious,8.292189763816028,50,19,0.38,0.43643104020084356,0.9613081135821832,0.35720730397422124,verbose,+
submissive,7.995471049133944,50,23,0.46,0.34762917604930194,0.5287430938641243,0.25782608695652176,anxious,+
contemporary,7.864504366716526,50,22,0.44,0.35747747121438755,0.709087751879047,0.32947775628626697,formal,-
meditative,7.842481359695455,50,19,0.38,0.4127621768260766,0.8578042700421241,0.24764769065520947,verbose,+
conceptual,7.742777195149505,50,20,0.4,0.38713885975747525,0.9932826609099404,0.23124489795918374,formal,+
problem_solving,7.641191884896303,50,24,0.48,0.31838299520401264,0.6082385771276843,0.35535714285714287,speculative,-
militant,7.595982635600864,50,24,0.48,0.31649927648336934,0.6519189050253755,0.310050858529302,playful,+
supportive,7.351111271407375,50,21,0.42,0.3500529176860655,0.6167437205888927,0.21498542274052487,inspirational,+
sarcastic,7.3100448326563665,50,23,0.46,0.3178280362024507,0.7114180387531465,0.3291990846681923,playful,+
assertive,7.0951453750704125,50,20,0.4,0.35475726875352065,0.7131336358042664,0.4193085106382979,verbose,+
bitter,6.805743769135507,50,20,0.4,0.34028718845677536,0.6500863378314058,0.34450000000000003,playful,+
patient,6.607356978853821,50,20,0.4,0.33036784894269106,0.528736286880893,0.37650000000000006,supportive,+
pessimistic,6.555262747226105,50,19,0.38,0.34501382880137393,0.5348255301823079,0.32831364124597207,entertaining,+
progressive,6.519898602813303,50,20,0.4,0.32599493014066516,0.5994204074509296,0.3298673469387755,skeptical,-
deontological,6.401525695468864,50,19,0.38,0.3369224050246771,0.48896889056906356,0.22361400979015672,playful,-
collaborative,6.243959582567387,50,19,0.38,0.328629451714073,0.5697539126027685,0.33506981740064445,verbose,+
petty,6.080997621280973,50,20,0.4,0.3040498810640487,0.515254285742461,0.2859999999999999,formal,+
educational,5.753650289503074,50,17,0.34,0.3384500170295926,0.7029356310689574,0.2605882352941176,verbose,+
sardonic,5.300855120356628,50,16,0.32,0.33130344502228926,0.6623387062242894,0.3798684210526315,playful,+
resilient,5.111106056106023,50,14,0.28,0.3650790040075731,0.5342373498584566,0.26,verbose,+
agreeable,5.045775449702676,50,16,0.32,0.31536096560641724,0.48496317941317496,0.24562500000000004,inclusive,+
wry,4.9792456622201104,50,16,0.32,0.3112028538887569,0.6357438970571685,0.3461184210526316,playful,+
serene,4.6994895199079405,50,13,0.26,0.36149919383907236,0.6602685452799893,0.23646781789638932,verbose,+
dogmatic,4.6518163640787,50,15,0.3,0.31012109093858,0.4513286228056621,0.31777304964539005,entertaining,+
conciliatory,4.521574273287257,50,15,0.3,0.30143828488581714,0.5943476436326948,0.24312280701754385,playful,-
materialist,3.970278266098826,50,12,0.24,0.3308565221749022,0.43017928305060593,0.2429591836734694,inspirational,-
universalist,3.954695130000009,50,14,0.28,0.2824782235714292,0.3884186983856237,0.28042274052478133,empathetic,-
convergent,3.6160734721418835,50,10,0.2,0.36160734721418836,0.5769606423270712,0.2912631578947369,practical,+
benevolent,3.1657534742073272,50,9,0.18,0.3517503860230364,0.45191374963550585,0.24333333333333332,inclusive,+
inspirational,3.0262806459644773,50,10,0.2,0.30262806459644775,0.4138796395020639,0.24,inspirational,+
environmental,2.9425984233034717,50,9,0.18,0.3269553803670524,0.46099604141192835,0.3674603174603175,inspirational,+
savage,2.861540631281961,50,9,0.18,0.317948959031329,0.4015726777001847,0.2894152046783626,inclusive,-
hostile,2.847125826979858,50,9,0.18,0.3163473141088731,0.4831868018480459,0.33111111111111113,playful,+
skeptical,2.7670601891004916,50,10,0.2,0.27670601891004915,0.4877378702999614,0.30700000000000005,data_driven,+
elitist,2.6716450357772903,50,10,0.2,0.26716450357772903,0.3177189793199778,0.36278947368421055,playful,+
optimistic,2.6641819697880385,50,10,0.2,0.26641819697880387,0.33365259633839317,0.327795918367347,inspirational,+
egalitarian,2.603072593598787,50,9,0.18,0.289230288177643,0.3853092101522432,0.27111111111111114,playful,-
acerbic,2.571594919284969,50,9,0.18,0.28573276880944104,0.37450094386474014,0.28807017543859653,inclusive,-
avoidant,2.3316547400924956,50,8,0.16,0.29145684251156195,0.3378511104274324,0.29448979591836744,inspirational,-
altruistic,1.8347889532223824,50,7,0.14,0.2621127076031975,0.306563363117322,0.29714285714285715,verbose,+
judgmental,1.7849552905325492,50,5,0.1,0.35699105810650983,0.45842229698774495,0.28600000000000003,entertaining,+
secular,1.6985903161953693,50,7,0.14,0.24265575945648132,0.2585222441367188,0.24227963525835866,patient,-
flexible,1.4958862582399517,50,6,0.12,0.2493143763733253,0.2773478862547319,0.23666666666666666,analytical,-
melancholic,1.1446881676319909,50,4,0.08,0.2861720419079977,0.33181673210676643,0.29000000000000004,optimistic,-
