trait,axis,n,mean_delta,cohen_d,t_stat,p_raw,p_adjusted,significant,direction,exceedance_rate
optimistic,entertaining,100,0.3148128315806389,1.355635419114271,13.55635419114271,2.7036355481267402e-24,9.076490768711199e-22,True,+,0.44
entertaining,rebellious,100,0.3302335120737553,1.3518901634425975,13.518901634425976,3.232856652878938e-24,1.047891466795242e-21,True,+,0.41
narrative,condescending,100,0.3356131589412689,1.346365910251476,13.46365910251476,4.209434396736671e-24,1.3189561109774903e-21,True,+,0.47
playful,artistic,100,0.35378692507743836,1.3447371510339545,13.447371510339545,4.550409980489265e-24,1.3798017360193254e-21,True,+,0.38
anxious,condescending,100,0.3917070558667183,1.3366540558961346,13.366540558961347,6.700496640447053e-24,1.866453730260813e-21,True,+,0.54
formal,esoteric,100,0.36775616645812986,1.3365706146867395,13.365706146867396,6.727340542743444e-24,1.866453730260813e-21,True,+,0.48
entertaining,risk_taking,100,0.40751086685806515,1.3349348046779022,13.34934804677902,7.275976200856459e-24,1.9401595540678847e-21,True,+,0.4
anxious,accommodating,100,0.2608313092589378,1.334496700809299,13.34496700809299,7.430398292174878e-24,1.9401595540678847e-21,True,+,0.42
playful,playful,100,0.6755579397082329,1.3247859871260848,13.247859871260847,1.1841449018953889e-23,3.0083681291396365e-21,True,+,0.73
narrative,dispassionate,100,-0.295845208466053,-1.3213656155870575,-13.213656155870574,1.3957115368089035e-23,3.452549591053603e-21,True,-,0.37
playful,rhetorical,100,0.3689783263206482,1.3206649614260741,13.206649614260742,1.4435321212800364e-23,3.4792825487262416e-21,True,+,0.52
skeptical,subversive,100,0.4572880041599274,1.3145739223318273,13.145739223318273,1.935132397421103e-23,4.547561133939592e-21,True,+,0.49
speculative,introspective,98,0.41521806376320974,1.3095261050085787,12.963647045893222,6.767398991148172e-23,1.247324519937114e-20,True,+,0.42857142857142855
anxious,dispassionate,100,-0.35222704097628593,-1.3086816742408625,-13.086816742408624,2.5703928080238654e-23,5.796994829331588e-21,True,-,0.5
skeptical,entertaining,100,0.44020006254315375,1.308522874720801,13.08522874720801,2.5901466258715606e-23,5.796994829331588e-21,True,+,0.61
anxious,sycophantic,100,0.24838797084987163,1.3066268407594785,13.066268407594785,2.8381221412018716e-23,6.204267006348278e-21,True,+,0.38
anxious,emotional,100,0.4346411348879337,1.3056843333362493,13.056843333362494,2.9701269443015776e-23,6.345271199189734e-21,True,+,0.61
playful,serious,100,-0.7313180884718895,-1.3050976575119935,-13.050976575119936,3.0553914840549206e-23,6.3511237695666936e-21,True,-,0.6
entertaining,emotional,100,0.5832074284553528,1.3047438458735314,13.047438458735314,3.107996738298595e-23,6.3511237695666936e-21,True,+,0.67
anxious,empathetic,100,0.48115188896656036,1.303951115434802,13.03951115434802,3.2291875127127217e-23,6.458375025425444e-21,True,+,0.64
speculative,creative,98,0.2943684519553671,1.3028689989434539,12.897745058109031,9.270088822175912e-23,1.613682128304696e-20,True,+,0.47959183673469385
humble,accommodating,100,0.2339850437641144,1.2998193671134335,12.998193671134334,3.9420707742488784e-23,7.71988859957072e-21,True,+,0.48
pessimistic,condescending,100,0.42238177806138993,1.2982176168076578,12.982176168076577,4.259207800389354e-23,8.170725168093862e-21,True,+,0.47
playful,solemn,100,-0.6947692289948464,-1.2975689951357363,-12.975689951357364,4.394808822360431e-23,8.262240586037609e-21,True,-,0.55
skeptical,closure_seeking,100,-0.34579508543014525,-1.2862407698494658,-12.862407698494657,7.602479106689082e-23,1.374294300055334e-20,True,-,0.42
entertaining,spontaneous,100,0.6305475440621376,1.282184281635537,12.821842816355371,9.253797846443352e-23,1.613682128304696e-20,True,+,0.65
playful,empathetic,100,0.48495117992162706,1.2809350326165942,12.809350326165944,9.831581410705805e-23,1.6803066411024467e-20,True,+,0.6
playful,gregarious,100,0.40452081635594367,1.2773740506408857,12.773740506408858,1.1685236499052332e-22,1.961450412340927e-20,True,+,0.66
speculative,condescending,98,0.3525250581454258,1.276172444428704,12.633462651865289,3.2888141707324127e-22,4.684068667406769e-20,True,+,0.4897959183673469
entertaining,reserved,100,-0.3961962997913361,-1.2752802878400027,-12.75280287840003,1.293507306693604e-22,2.1331524005122592e-20,True,-,0.54
speculative,rebellious,98,0.28120470358705035,1.2692804038975563,12.565234931524266,4.565644115246873e-22,6.131007811902944e-20,True,+,0.3979591836734694
verbose,epicurean,100,0.27073739491403104,1.269190415019399,12.69190415019399,1.738734257760591e-22,2.817948624646475e-20,True,+,0.44
playful,contrarian,100,0.30797385461628435,1.268493951499119,12.68493951499119,1.7986009252128015e-22,2.8655675757627685e-20,True,+,0.46
playful,casual,100,0.6736231961846352,1.2670874772055154,12.670874772055154,1.9258840404731946e-22,3.0172183300746715e-20,True,+,0.54
entertaining,playful,100,0.7624866303801536,1.266274921477741,12.662749214777408,2.0035012342964006e-22,3.087362557768224e-20,True,+,0.73
empathetic,subversive,100,0.3668466725945473,1.2633975753687186,12.633975753687185,2.304491550977533e-22,3.4939065450304535e-20,True,+,0.38
formal,eclectic,100,0.24476422056555747,1.2622770017130673,12.622770017130671,2.4336442254071772e-22,3.631151701401185e-20,True,+,0.41
skeptical,provocative,100,0.4004149333387613,1.2610443184562394,12.610443184562394,2.584129776925795e-22,3.7954406098597615e-20,True,+,0.47
entertaining,creative,100,0.3772388714551926,1.2561776099835016,12.561776099835015,3.275296103325331e-22,4.684068667406769e-20,True,+,0.53
humble,empathetic,100,0.4102328959107399,1.2542844897899128,12.542844897899128,3.591849902446028e-22,5.0393118034317405e-20,True,+,0.63
playful,iconoclastic,100,0.32746150337159635,1.2525938121480946,12.525938121480946,3.90043799639703e-22,5.391781936195894e-20,True,+,0.46
empathetic,dispassionate,100,-0.3798151017725468,-1.250874151745582,-12.50874151745582,4.241642090795001e-22,5.778468935285942e-20,True,-,0.53
empathetic,emotional,100,0.4552165786921978,1.2485936080464604,12.485936080464603,4.740802920851127e-22,6.276555979718393e-20,True,+,0.58
anxious,playful,100,0.468398334980011,1.2480748663085328,12.480748663085329,4.862340722548653e-22,6.348055943327408e-20,True,+,0.53
playful,stoic,100,-0.5041856771707535,-1.2471124502949846,-12.471124502949847,5.096174968263015e-22,6.562197904338677e-20,True,-,0.52
anxious,ritualistic,100,-0.46457215294241905,-1.2444928122042265,-12.444928122042265,5.791454911400589e-22,7.356712995562911e-20,True,-,0.59
skeptical,decisive,100,-0.3150808995589614,-1.2425176834283393,-12.425176834283395,6.37798775713362e-22,7.993744655607471e-20,True,-,0.41
playful,deconstructionist,100,0.26917955201119187,1.2383022399299441,12.383022399299442,7.837040794166834e-22,9.693182034890559e-20,True,+,0.39
playful,formal,100,-0.6781339493393898,-1.2367611604054665,-12.367611604054664,8.450400296231062e-22,1.0316073088905454e-19,True,-,0.56
playful,passionate,100,0.37680902242660524,1.2342832640060926,12.342832640060925,9.539274296025641e-22,1.1496048510595004e-19,True,+,0.63
