axis,composite_score,n_total_traits,n_significant_traits,pct_significant_traits,mean_abs_cohen_d,max_abs_cohen_d,mean_exceedance_rate,top_trait,top_direction
animated,29.07875919151705,50,43,0.86,0.6762502137562105,1.4637268199371671,0.4088413217850182,inspirational,+
rhetorical,29.031662115719563,50,41,0.82,0.7080893198955991,1.4499089125342925,0.42128662468842193,inspirational,+
artistic,28.99794951598241,50,41,0.82,0.7072670613654246,1.5487236210505915,0.47128945659112526,inspirational,+
philosophical,28.39511767636737,50,42,0.84,0.6760742303896993,1.3017419593583093,0.3392650458439932,inspirational,+
environmental,28.22196578611024,50,43,0.86,0.656324785723494,1.117660681708701,0.24788317309737137,inspirational,+
sycophantic,28.024969379771033,50,39,0.78,0.7185889584556675,1.4732616459992707,0.4329961950635844,inspirational,+
eclectic,27.992483484582245,50,39,0.78,0.7177559867841601,1.4178517092219312,0.4104925631241421,verbose,+
contrarian,27.839703920692397,50,43,0.86,0.6474349748998232,1.3752255755133946,0.3664138458202107,pessimistic,+
playful,27.57886081248715,50,40,0.8,0.6894715203121787,1.2264737573526088,0.39823753613545637,inspirational,+
benevolent,27.506569963727667,50,43,0.86,0.6396876735750621,0.8836507336897439,0.25788738857894306,inspirational,+
verbose,26.94898024014331,50,42,0.84,0.6416423866700788,0.9855891967567492,0.19151669330240764,speculative,+
extroverted,26.574863703239572,50,41,0.82,0.6481674073960871,1.2288712925370602,0.4342129949639578,inspirational,+
critical,26.43147367107836,50,41,0.82,0.6446700895384966,1.368044001777682,0.35595653349183515,pessimistic,+
naive,26.305730834969864,50,40,0.8,0.6576432708742466,1.1899880320725003,0.25794434761540025,educational,-
grandiose,25.87654783221164,50,39,0.78,0.6635012264669651,1.2506254132739243,0.34741722636459477,inspirational,+
introverted,25.797756851080088,50,39,0.78,0.6614809448994894,1.2595974799866823,0.3469565864302706,educational,+
altruistic,25.77435425088306,50,42,0.84,0.6136751012115015,0.880345064374557,0.1346872858151054,inspirational,+
challenging,25.448557731756594,50,41,0.82,0.6206965300428438,1.2185035673755973,0.4031004621826188,speculative,+
agreeable,25.300204894235492,50,40,0.8,0.6325051223558873,1.1053876260195619,0.4360736862933382,optimistic,+
avoidant,25.240998394708686,50,42,0.84,0.6009761522549687,0.8224907305784753,0.0923512105842933,educational,-
educational,25.20550231044848,50,40,0.8,0.630137557761212,0.9260519868653448,0.15871090364511417,educational,+
cruel,25.110595795213825,50,43,0.86,0.5839673440747402,0.988700153365602,0.360897811084371,inspirational,-
subversive,24.52198874191698,50,34,0.68,0.7212349629975583,1.4534395784791025,0.49961089589572555,pessimistic,+
futuristic,24.172431815826894,50,38,0.76,0.6361166267322866,1.195272544334604,0.40878538122305424,verbose,+
impulsive,24.03006591898751,50,39,0.78,0.6161555363842951,0.9201312126567436,0.19074126402061628,educational,-
concise,24.02167632665816,50,39,0.78,0.6159404186322605,0.8872073584418197,0.1695393095190666,speculative,-
spiritual,23.953727313410536,50,39,0.78,0.6141981362412958,1.402220654056004,0.3546581172087245,inspirational,+
spontaneous,23.730555568611827,50,37,0.74,0.6413663667192385,1.1676224608784915,0.38534582837570047,inspirational,+
egalitarian,23.6484934039505,50,40,0.8,0.5912123350987625,0.8542271472007589,0.11179606478948585,educational,+
nonchalant,23.615212430490686,50,37,0.74,0.6382489846078564,0.9764005796598056,0.3234629647858666,methodical,-
resilient,23.515979477325626,50,36,0.72,0.653221652147934,1.0013262162850955,0.4428744859665914,methodical,+
skeptical,23.465369702069108,50,38,0.76,0.6175097290018187,1.0747419678932213,0.21617799193976478,data_driven,+
theatrical,23.348116874951234,50,37,0.74,0.6310301858094928,1.2812871320268175,0.2754682108522791,inspirational,+
dramatic,23.34781254733175,50,37,0.74,0.6310219607386959,1.3070790104650916,0.3225767331741727,inspirational,+
pedantic,23.277570508075478,50,26,0.52,0.8952911733875184,1.983553090256402,0.4895904652483601,verbose,+
universalist,23.2496571830993,50,41,0.82,0.5670648093438854,0.9052299726283334,0.2665568203468323,patient,-
accommodating,22.951123061730886,50,38,0.76,0.6039769226771285,1.10981903105872,0.314123789093631,inspirational,+
adventurous,22.847335522134877,50,37,0.74,0.617495554652294,1.2468028660023722,0.4112784219825472,inspirational,+
meditative,22.623847009710413,50,36,0.72,0.6284401947141781,1.4175331533748343,0.3730303901356533,inspirational,+
earnest,22.49984385804139,50,35,0.7,0.6428526816583254,1.0624094583945154,0.33338940361496755,inspirational,+
gregarious,22.438460650024076,50,35,0.7,0.6410988757149736,1.2737092448070217,0.4685880762196551,inspirational,+
elitist,21.330707928816075,50,39,0.78,0.5469412289440019,0.7475889422794598,0.06638645920022437,educational,-
stream_of_consciousness,21.32481791744129,50,32,0.64,0.6664005599200403,1.226065707826775,0.4046936291590898,inspirational,+
dispassionate,21.272889279551386,50,31,0.62,0.6862222348242383,1.510786856656268,0.4380612295722653,inspirational,-
callous,21.221942465211782,50,37,0.74,0.5735660125732914,1.0967292893520673,0.3867588239794912,inspirational,-
dogmatic,21.100671009619752,50,35,0.7,0.6028763145605643,0.8897186030811927,0.39026055883198746,data_driven,-
submissive,20.739468612237204,50,34,0.68,0.609984370948153,0.8978138772910486,0.17034993521061623,methodical,-
