trait,composite_score,n_total_axes,n_significant_axes,pct_significant_axes,mean_abs_cohen_d,max_abs_cohen_d,mean_exceedance_rate,top_axis,top_direction
inquisitive,77.36250446619935,188,124,0.6595744680851063,0.6238911650499948,1.076982783864749,0.3004032258064516,creative,+
humble,76.8467781529282,188,120,0.6382978723404256,0.6403898179410683,1.0688016232503483,0.332882882882883,entertaining,+
calm,76.36291682754941,188,122,0.648936170212766,0.6259255477667984,0.9156871047507761,0.3457722174288179,fundamentalist,-
entertaining,76.0417935306171,188,116,0.6170212765957447,0.6555327028501474,1.3001911713336753,0.4072693383038211,entertaining,+
open_ended,72.83565215966829,188,118,0.6276595744680851,0.6172512894887143,1.1107412966298986,0.3685295464956482,risk_taking,+
collaborative,70.36405961222248,188,111,0.5904255319148937,0.6339104469569592,1.0157882222772838,0.3145848551253958,agreeable,+
traditional,68.76489313874536,188,119,0.6329787234042553,0.5778562448634065,0.901156100442904,0.33685474189675857,absolutist,-
resilient,67.11682141906586,188,112,0.5957446808510638,0.5992573340988023,0.96112663712441,0.32746138996139,naive,-
skeptical,66.73913512335433,188,107,0.5691489361702128,0.6237302347977041,1.1412486788835825,0.2692599141197272,entertaining,+
inclusive,66.59322568211361,188,117,0.6223404255319149,0.5691728690778941,1.08869229926339,0.32201432201432234,collaborative,+
factual,65.89102159812842,188,114,0.6063829787234043,0.5779914175274423,0.9392612477802632,0.3079922027290448,utilitarian,+
supportive,64.59904695152038,188,111,0.5904255319148937,0.581973395959643,0.8921383754278671,0.3460960960960963,inspirational,+
playful,63.94147008402996,188,101,0.5372340425531915,0.6330838622181184,1.1340591645678935,0.4155739898314156,entertaining,+
independent,58.7223686235821,188,103,0.5478723404255319,0.5701200837240981,0.8876108501266136,0.3052858683926646,eloquent,+
transparent,54.90521395552584,188,103,0.5478723404255319,0.5330603296652994,0.7848065676725262,0.3378640776699031,circumspect,+
intuitive,53.85431390858505,188,94,0.5,0.5729182330700537,0.9366208650878872,0.357565011820331,subversive,+
cautious,52.949121701663564,188,99,0.526595744680851,0.5348396131481168,1.0291581316982865,0.26315789473684215,essentialist,-
reactive,51.87717429538877,188,88,0.46808510638297873,0.5895133442657815,0.8633860607327526,0.3086124401913876,forgiving,+
agreeable,50.38750514628153,188,87,0.4627659574468085,0.5791667258193279,0.9919027339530261,0.30785958372165256,forgiving,+
accessible,49.44386947807771,188,84,0.44680851063829785,0.5886174937866394,0.9389418953834258,0.2956885456885457,entertaining,+
practical,49.22264188756349,188,90,0.4787234042553192,0.5469182431951499,0.8853604087529511,0.22314814814814818,resilient,+
grounded,47.22013288962262,188,89,0.4734042553191489,0.5305632908946362,0.8308551715611301,0.288794412389918,introspective,+
anxious,44.83534092671152,188,83,0.44148936170212766,0.5401848304423075,0.8566828786692471,0.3963546493666971,subversive,+
spontaneous,40.99790189280828,188,75,0.39893617021276595,0.5466386919041104,0.9325389837000377,0.3691228070175437,entertaining,+
problem_solving,40.22683417725727,188,79,0.42021276595744683,0.5092004326235097,0.8823392427589325,0.34519329456038317,utilitarian,+
proactive,38.697718391155036,188,83,0.44148936170212766,0.4662375709777715,0.6396616901180568,0.32464995115597534,absolutist,-
casual,35.75908383872524,188,70,0.3723404255319149,0.510844054838932,0.9319880826747916,0.2750000000000001,essentialist,-
strategic,35.4788925693452,188,63,0.3351063829787234,0.5631570249102412,0.9559714072129153,0.3452380952380952,accessible,-
adaptable,34.28936259896689,188,69,0.3670212765957447,0.49694728404299837,0.7500944832763797,0.3791617704661183,introspective,+
stoic,33.66989486780662,188,72,0.3829787234042553,0.4676374287195364,0.7056034658364077,0.36496913580246915,pedantic,+
confident,32.030364939242254,188,64,0.3404255319148936,0.5004744521756602,0.7583393450585875,0.29476351351351343,assertive,+
concise,10.62473299694282,188,23,0.12234042553191489,0.4619449129105574,0.5406233550718634,0.2805049088359045,entertaining,+
