trait,axis,n,mean_delta,cohen_d,t_stat,p_raw,p_adjusted,significant,direction,exceedance_rate
skeptical,theatrical,37,0.2873153340172123,0.609900135123158,3.709877689150966,0.0006963885412376087,0.0024425568237438516,True,+,0.16216216216216217
analytical,urgent,36,0.296099784059657,0.6096559590777149,3.6579357544662887,0.0008291313160820341,0.0028045463732173878,True,+,0.3333333333333333
analytical,metaphorical,36,0.41868412204914623,0.6094740207745275,3.6568441246471655,0.0008316823635176678,0.002811848112692537,True,+,0.25
factual,altruistic,36,0.8918187999063067,0.6092645446073724,3.6555872676442345,0.0008346289347088872,0.002819084436314603,True,+,0.1111111111111111
inquisitive,bitter,40,-0.4799427628517151,-0.6091997058937522,-3.852917241057919,0.00042397666920602583,0.001668919887159398,True,-,0.4
reactive,iconoclastic,38,0.3713928202265187,0.609091751580834,3.754693722537794,0.0005959949128424771,0.0021664161565039773,True,+,0.42105263157894735
patient,epicurean,39,0.2835711827262854,0.6088334790904424,3.8021638582777455,0.0005054933520523723,0.0019006550037169198,True,+,0.46153846153846156
factual,egalitarian,36,0.9187102036343681,0.6088176074577484,3.65290564474649,0.0008409495091707464,0.00283635643566739,True,+,0.05555555555555555
confident,patient,37,-0.23380803618882154,-0.6088077722717651,-3.703233105329024,0.0007096983303424907,0.0024845883498729126,True,-,0.1891891891891892
traditional,anxious,35,-0.3766373174531119,-0.6087101973548296,-3.6011780923374843,0.0009987170717546795,0.003242811908288079,True,-,0.2857142857142857
flexible,accommodating,36,0.34070950249830884,0.6087007288043789,3.652204372826273,0.0008426100240920638,0.002840937670898637,True,+,0.3333333333333333
factual,reactive,36,-0.7628397709793515,-0.6083447568884653,-3.6500685413307923,0.0008476869339584369,0.0028529384816359856,True,-,0.3055555555555556
practical,reactive,36,-0.4305614133675893,-0.608180705946716,-3.6490842356802964,0.0008500365907152605,0.002857776807125697,True,-,0.1111111111111111
educational,detached,38,0.30227220685858475,0.6081512130397941,3.748895853585076,0.0006060409965320303,0.002196129483056758,True,+,0.34210526315789475
spontaneous,urgent,38,-0.2547785647605595,-0.6081297717543158,-3.748763680624631,0.0006062719158013071,0.002196129483056758,True,-,0.3684210526315789
factual,edgy,36,-0.45990657475259566,-0.6080933393534618,-3.64856003612077,0.0008512904871091623,0.002858924822731735,True,-,0.3611111111111111
independent,dispassionate,36,-0.4317476153373718,-0.6079752296585516,-3.6478513779513095,0.000852988455750901,0.0028636041014494535,True,-,0.4444444444444444
optimistic,reactive,37,-0.6227545802657669,-0.6077561597578526,-3.696836396133004,0.0007227439508152014,0.0025199529442369783,True,-,0.16216216216216217
data_driven,conciliatory,36,0.40790526072184247,0.6077201204147938,3.6463207224887633,0.0008566671392146005,0.0028728758860568126,True,+,0.3333333333333333
entertaining,grandiose,37,0.6688121915669054,0.607686373979216,3.696411905813566,0.0007236178283712049,0.002522064362880729,True,+,0.32432432432432434
stoic,eclectic,36,0.3647739938977692,0.6076388506242499,3.6458331037455,0.0008578422703477034,0.0028747655405591483,True,+,0.3055555555555556
adaptable,absolutist,37,-0.3105018541619584,-0.6075901515137826,-3.6958266074062545,0.0007248244302764486,0.0025245373346231468,True,-,0.4594594594594595
inquisitive,traditional,40,-0.25269818883389233,-0.6074066517535117,-3.841576970955609,0.0004384055675162376,0.0017135186422672075,True,-,0.375
verbose,flexible,36,0.5290774976213773,0.6073157048248199,3.6438942289489193,0.000862530276110532,0.002886637400544885,True,+,0.08333333333333333
optimistic,innovative,37,0.4899925587547792,0.6072076934074901,3.6935002055678896,0.0007296396159122723,0.002539286334533639,True,+,0.43243243243243246
empathetic,ethereal,38,0.4018032221417678,0.6071309194231905,3.7426063413277446,0.0006171243182477122,0.002220891497522395,True,+,0.42105263157894735
agreeable,benevolent,37,0.718206608617628,0.6071092687977706,3.6929015120398287,0.000730883789205983,0.002541918395229284,True,+,0.2702702702702703
data_driven,futuristic,36,0.37964585092332626,0.606908404085663,3.641450424513978,0.0008684744426828944,0.002904183479622628,True,+,0.3333333333333333
practical,egalitarian,36,0.6220182759894265,0.6068079812142746,3.6408478872856476,0.0008699460931860203,0.00290703635831802,True,+,0.027777777777777776
open_ended,abstract,37,0.48639841055547867,0.606770503213023,3.690840881434372,0.000735181789938642,0.0025511417065748163,True,+,0.2972972972972973
confident,introspective,37,0.7485629835644284,0.6067200620456313,3.6905340597913767,0.0007358238366587189,0.0025511417065748163,True,+,0.35135135135135137
big_picture,zealous,37,0.3726411864564225,0.6067037547461237,3.690434866360962,0.0007360315221522236,0.0025511417065748163,True,+,0.4594594594594595
inquisitive,visceral,40,-0.4928844027221203,-0.6066973745378272,-3.837091107967559,0.0004442435885136629,0.001734173476755993,True,-,0.6
calm,judgmental,38,-0.32956463882797643,-0.6064130298936363,-3.7381809730591757,0.0006250399836677808,0.0022388050333080863,True,-,0.39473684210526316
cautious,urgent,38,-0.2903564709581827,-0.6063932812633839,-3.738059234326309,0.0006252591208687844,0.0022388050333080863,True,-,0.3157894736842105
factual,circumspect,36,0.4683308034307427,0.606391774037102,3.638350644222612,0.0008760711557179862,0.002925208722803653,True,+,0.3611111111111111
conscientious,collaborative,37,0.1923873665163646,0.6062778410450629,3.6878441344590085,0.0007414759704470008,0.0025662275854940377,True,+,0.5675675675675675
factual,savage,36,-0.38296813435024685,-0.6061661383502275,-3.636996830101365,0.0008794090989728671,0.0029324035226480846,True,-,0.3333333333333333
entertaining,closure_seeking,37,-0.5163678905448398,-0.6060954974246943,-3.6867349815173913,0.0007438187554326817,0.0025717796874461076,True,-,0.1891891891891892
data_driven,innovative,36,0.41192042268812656,0.6059129814415429,3.635477888649258,0.000883168810801616,0.002942852471299252,True,+,0.3333333333333333
conscientious,flippant,37,-0.5960616453273876,-0.6056151313717522,-3.6838130288897273,0.0007500249120816946,0.002591997857929386,True,-,0.40540540540540543
resilient,nonchalant,37,-0.46389446467966644,-0.605562528162484,-3.683493056059418,0.00075070756098538,0.002592532592757082,True,-,0.32432432432432434
data_driven,altruistic,36,0.6782644498679373,0.6054294185891764,3.6325765115350586,0.0008903935765537603,0.00296482451987437,True,+,0.1111111111111111
intuitive,philosophical,36,0.6283153539730443,0.6053887797110731,3.6323326782664385,0.000891003344799161,0.002965804334671428,True,+,0.3055555555555556
formal,assertive,37,0.286942786914674,0.6053551410268845,3.6822315693617274,0.000753404749819506,0.002600809639479749,True,+,0.35135135135135137
inclusive,educational,37,0.5656862983832488,0.6052920669691467,3.681847904846686,0.0007542269209829618,0.002601736901739391,True,+,0.08108108108108109
casual,quantitative,40,-0.4966997250914574,-0.6051269710540722,-3.8271590042593,0.0004574387617506502,0.0017715902634502939,True,-,0.275
empathetic,sassy,38,-0.3221288025379181,-0.6050951324908468,-3.730056907854944,0.0006398280314198946,0.00227556283792255,True,-,0.3157894736842105
factual,environmental,36,0.4319194764830172,0.6050671823473288,3.6304030940839733,0.0008958430233275835,0.0029776960464212463,True,+,0.1111111111111111
formal,essentialist,37,-0.2127188717996752,-0.6050542389466048,-3.6804012534625135,0.0007573348227854514,0.00261054174337486,True,-,0.35135135135135137
inclusive,pessimistic,37,-0.26226930199442683,-0.6045195353878414,-3.67714877869045,0.000764367535122231,0.0026318882161717842,True,-,0.35135135135135137
practical,anxious,36,-0.19657999277114868,-0.6044418901247561,-3.6266513407485363,0.0009053257827633431,0.003001785664188862,True,-,0.2222222222222222
conscientious,meditative,37,0.34980610697656067,0.6043852392650031,3.676331887266485,0.000766143767880609,0.0026360729934398696,True,+,0.32432432432432434
open_ended,pedantic,37,0.2586154463524754,0.6043115188311866,3.675883463373949,0.0007671205079980288,0.0026384679016397622,True,+,0.4864864864864865
problem_solving,dogmatic,37,-0.4336943996919168,-0.6040615563634623,-3.674363001041294,0.0007704412918816987,0.0026479517892826205,True,-,0.5405405405405406
problem_solving,resilient,37,0.40976331846134084,0.604021939540036,3.6741220213121872,0.0007709688808417543,0.0026487965935352666,True,+,0.5675675675675675
factual,sassy,36,-0.4115721550252702,-0.6039637093335307,-3.6237822560011845,0.0009126429220614946,0.0030217835390553187,True,-,0.3888888888888889
inspirational,deontological,37,0.6814610974208729,0.603851905696552,3.6730877458201605,0.0007732372412115297,0.0026546494037211024,True,+,0.1891891891891892
problem_solving,literal,37,-0.5288077945242057,-0.6038151298124246,-3.6728640468501714,0.0007737287030520698,0.0026553668523875344,True,-,0.3783783783783784
reactive,stream_of_consciousness,38,0.39038558500377757,0.6033988909226289,3.7196005725794032,0.000659360378798721,0.002334458591603758,True,+,0.3157894736842105
proactive,fundamentalist,37,-0.5870892308853768,-0.6033801564388119,-3.6702182071114833,0.0007795645131929589,0.0026733163933943182,True,-,0.43243243243243246
big_picture,conceptual,37,0.5392108833467638,0.6033406632126521,3.6699779791951976,0.000780096475221342,0.0026733163933943182,True,+,0.32432432432432434
problem_solving,problem_solving,37,0.3263507437061619,0.6031331206859173,3.668715547290132,0.0007828977838891246,0.0026792117692289296,True,+,0.4594594594594595
independent,subversive,36,0.39574914053082466,0.6030690906146794,3.618414543688076,0.0009264861448760803,0.0030557788638018086,True,+,0.4722222222222222
conscientious,moderate,37,0.6235983073711395,0.6030253093472515,3.6680597565189537,0.0007843568042987195,0.0026820494581331258,True,+,0.4594594594594595
patient,innovative,39,0.2807183443353726,0.6029520966423647,3.7654346366616855,0.0005625759384989897,0.0020657085241759777,True,+,0.2564102564102564
skeptical,iconoclastic,37,0.29391819641396805,0.6027985495825354,3.6666804307187597,0.000787434146902562,0.0026886600003211344,True,+,0.2972972972972973
traditional,savage,35,-0.4026391966002328,-0.6027023872619988,-3.5656354085065867,0.0011021380517280096,0.003489423269196123,True,-,0.3142857142857143
collaborative,impulsive,37,-0.6398192474970946,-0.602610976591696,-3.665539468758386,0.0007899885045846211,0.0026964023032300067,True,-,0.1891891891891892
open_ended,cryptic,37,0.3549038727541228,0.6024733977439728,3.664702609298493,0.0007918671345893013,0.0027018334174734784,True,+,0.2972972972972973
factual,mercurial,36,-0.38836223052607644,-0.6024581160452525,-3.6147486962715147,0.000936056627876544,0.0030787026949053585,True,-,0.4166666666666667
speculative,ethereal,36,0.6058381514416801,0.6021452214373739,3.6128713286242435,0.0009409948032570453,0.003091699108918639,True,+,0.4166666666666667
formal,conceptual,37,0.5983560755848885,0.6020988984016105,3.66242461873115,0.0007970027980927688,0.002718369485512347,True,+,0.32432432432432434
data_driven,challenging,36,0.342383300471637,0.6019862639473573,3.611917583684144,0.0009435131360613554,0.00309889010446427,True,+,0.3333333333333333
traditional,naive,35,-0.4775108456611633,-0.6019323428134055,-3.5610797641121756,0.0011161190841367952,0.0035301209256009,True,-,0.17142857142857143
methodical,wry,37,-0.5920003104854275,-0.6019228075523011,-3.661353499911043,0.0007994287167090698,0.002725059053114772,True,-,0.40540540540540543
anxious,iconoclastic,39,0.4109165771649434,0.6018985205259277,3.758855055923376,0.0005734402461079788,0.0020982243337543793,True,+,0.41025641025641024
analytical,rebellious,36,0.4215376286043061,0.6016543734605947,3.609926240763568,0.0009487922133030852,0.00311325380490519,True,+,0.3888888888888889
data_driven,misanthropic,36,-0.3553965621524387,-0.6016488684768758,-3.609893210861255,0.0009488800160695074,0.00311325380490519,True,-,0.5555555555555556
grounded,moderate,37,0.5081601730875067,0.6014378855098859,3.6584038342813234,0.0008061461947287446,0.0027455703733515213,True,+,0.32432432432432434
strategic,collaborative,36,0.18306759372353554,0.601407135504594,3.6084428130275645,0.0009527433284900916,0.003122659444842002,True,+,0.4166666666666667
open_ended,spiritual,37,0.4750040109093125,0.6013417077498391,3.6578188078062635,0.0008074849830101744,0.0027471439885253853,True,+,0.40540540540540543
independent,adventurous,36,0.4129824857744906,0.601270381831513,3.6076222909890787,0.0009549356122254374,0.0031265742789686906,True,+,0.4444444444444444
conscientious,irreverent,37,-0.6180286262486432,-0.6012646170634496,-3.6573498834676585,0.0008085596314372242,0.0027498048247141488,True,-,0.3783783783783784
stoic,serene,36,0.48282868829038406,0.6012303427519555,3.607382056511733,0.0009555783958772235,0.003127589457258322,True,+,0.4722222222222222
