condition,axis,num_topics,count,overall_mean,overall_std,overall_variance,between_topic_std,between_topic_variance,mean_within_topic_std,mean_within_topic_variance,pooled_within_topic_std,pooled_within_topic_variance
Neutral,dogmatic,5,628,-1.1915801190266944,0.3097749584142953,0.09596052486057838,0.3119084606196295,0.09728688780610698,0.12457922949375384,0.018419708150839858,0.1350593299135341,0.018241022596692844
Neutral,dominant,5,628,0.9216376457387095,0.3515614645499501,0.1235954633565058,0.31750789001481616,0.1008112602216606,0.16374315697392428,0.04338785136961134,0.20663302052595178,0.04269720517167841
Neutral,dramatic,5,628,-0.5639624495866002,0.39149654284365776,0.15326954305853593,0.42448337187936075,0.18018613300207167,0.08559570937863767,0.010162013180419763,0.10055500312368511,0.010111308653204322
Neutral,earnest,5,628,2.923175822397706,0.30849340448782625,0.09516818061248958,0.26577510755792094,0.07063640779742444,0.18210366688021692,0.03901088537893444,0.19639481393455244,0.03857092294038747
Neutral,eclectic,5,628,-0.5940309184704237,0.9775075177731413,0.9555209473030081,1.0846093424425352,1.1763774257136284,0.12396204419008565,0.019216488565351957,0.13773043230224188,0.018969671982162435
Neutral,edgy,5,628,-3.355237147610658,0.4854243064495772,0.23563675729205302,0.49405323295416886,0.24408859699246624,0.1832583431159366,0.04115643910547966,0.20170483451668195,0.040684840267402045
Neutral,educational,5,628,2.8753045060832028,0.2186305178872098,0.04779930335162957,0.1645509885533192,0.02707702783387459,0.15639027863677182,0.02626388505859767,0.161401697980538,0.026050508111000802
Neutral,effusive,5,628,-1.9371140762499184,0.3893878173918616,0.1516228723331978,0.3771844514500131,0.1422681104156473,0.15864420014414923,0.03818804593632294,0.19393984814460238,0.037612664698351436
Neutral,egalitarian,5,628,4.7166728244465626,0.4946378811011552,0.24466663342024056,0.48888370996815134,0.23900728187222353,0.22207019999818312,0.05399234690141989,0.23154588643215657,0.053613497523653145
Neutral,elitist,5,628,-5.0931014467956155,0.5744019565919254,0.32993760773663217,0.5910203706744998,0.3493050785522231,0.2170055139449632,0.05163376235773829,0.22653674185026845,0.051318895408135175
