condition,axis,count,mean,std,min,max
anxious,circumspect,5,0.789509654045105,0.35627831925635,0.2112957239151001,1.0385606288909912
anxious,closure_seeking,5,-2.2494073867797852,0.44670712025564246,-2.9497265815734863,-1.7998054027557373
anxious,collaborative,5,-0.07679082453250885,0.36507048896664124,-0.4704782962799072,0.37378257513046265
anxious,collectivistic,5,-0.001043207198381424,0.21172008847559518,-0.28347527980804443,0.3034347891807556
anxious,competitive,5,-0.8256872653961181,0.45315403599520815,-1.4707249402999878,-0.3996995985507965
anxious,conceptual,5,0.9785973608493805,0.7628699882583989,-0.24821695685386658,1.6979384422302246
anxious,conciliatory,5,2.6123047351837156,0.45923927330654807,2.32814621925354,3.420548677444458
anxious,concise,5,-2.040315842628479,0.26381455001510173,-2.312236785888672,-1.619280219078064
anxious,condescending,5,-1.0504112482070922,0.2210299846318807,-1.3017857074737549,-0.8572984933853149
anxious,confident,5,0.4207000136375427,0.17312554996817323,0.14639487862586975,0.5966413617134094
anxious,confrontational,5,1.2321266055107116,0.6023813476819562,0.5073105692863464,2.1601157188415527
anxious,conscientious,5,2.3609413146972655,0.3119358277408043,1.9527292251586914,2.775202512741089
anxious,contemporary,5,-0.6000029116868972,0.8039598082879577,-1.5646076202392578,0.34139561653137207
anxious,contrarian,5,-0.053073400259017946,0.8957490580884688,-1.2695549726486206,1.2002581357955933
anxious,convergent,5,-0.3015581950545311,0.3485614735910639,-0.6476844549179077,0.21432721614837646
anxious,creative,5,1.3004373908042908,0.5719022316750901,0.3859941363334656,1.8758220672607422
anxious,critical,5,0.18863457143306733,0.9951441037244778,-0.8969007730484009,1.772756576538086
anxious,cruel,5,-2.205865240097046,0.43050351948350213,-2.7931432723999023,-1.633873462677002
anxious,cryptic,5,-1.0984258949756622,0.7350457437251524,-2.315495014190674,-0.42897292971611023
anxious,curious,5,2.031607222557068,0.268684825818346,1.6800509691238403,2.363008499145508
anxious,cynical,5,-1.2914072751998902,0.6360475346377192,-2.0423707962036133,-0.5218456983566284
