condition,axis,num_topics,count,overall_mean,overall_std,overall_variance,between_topic_std,between_topic_variance,mean_within_topic_std,mean_within_topic_variance,pooled_within_topic_std,pooled_within_topic_variance
humble,irreverent,25,100,-3.141206398010254,0.6121936875383145,0.3747811110617594,0.5739792416087436,0.3294521697977484,0.24450744990008413,0.07301228926040429,0.23518575711294917,0.05531234034879112
humble,judgmental,25,100,-1.559850612282753,0.30885490375546254,0.09539135157379604,0.29637094102928196,0.08783573468658212,0.10639524598832023,0.01348684367858561,0.10108068963511435,0.010217305817110313
humble,libertarian,25,100,-2.8373008024692536,0.6074529896809219,0.36899913467229023,0.5829290828174947,0.3398063155944456,0.19808633174246051,0.05212677380653253,0.19872085989262434,0.03948998015646403
humble,literal,25,100,-1.5973580771684646,0.5086899686922051,0.2587654842480766,0.48996973897929996,0.2400703451154433,0.16756405902762758,0.03428039745969363,0.16115209609411066,0.02596999807552548
humble,manic,25,100,-2.260719712972641,0.4931848388178193,0.24323128523975845,0.46199790280602315,0.21344206219716363,0.1974801141337893,0.04785945690411149,0.1904131411465516,0.03625716432129659
humble,materialist,25,100,-1.3505101209878922,0.9326983749176717,0.8699262585740658,0.9369720862293981,0.8779166903730705,0.13665541268034376,0.024569297640236156,0.13642985110636963,0.018613104272906182
humble,meditative,25,100,0.7852549801766873,0.44235176122001807,0.19567508065445188,0.4370579384661141,0.1910196415762496,0.10650443174181805,0.013785965246276932,0.10219546499410485,0.01044391306536131
humble,melancholic,25,100,-0.7420619606971741,0.28186573894425354,0.07944829479059008,0.2634479761011778,0.06940483611180677,0.10601390864260665,0.016033558900466226,0.11021177582570851,0.012146635530656228
humble,melodramatic,25,100,-0.9364152610301971,0.3143621869165142,0.09882358456293341,0.30357124237334177,0.09215549919609421,0.1012249760960942,0.012488092652071564,0.09726600768803748,0.009460676251569365
humble,mercurial,25,100,-2.053466982245445,0.49001275204995404,0.2401124971715697,0.4366501418116717,0.19066334634415302,0.2313158144415847,0.07289941294595607,0.2350038893068807,0.05522682798936064
humble,metaphorical,25,100,0.47972350791096685,0.3702715315916537,0.137101007107229,0.3362030105159983,0.11303246428002046,0.1663550098749132,0.036291775103116077,0.16581245133436806,0.027493769017512177
humble,militant,25,100,-1.6509266340732573,0.29223963782169776,0.08540400591415707,0.2661979503921062,0.07086134879295822,0.1334864204081117,0.022030761351700838,0.1291896695598587,0.01668997072098548
humble,misanthropic,25,100,-1.5361186867952348,0.3517019794918346,0.12369428237847488,0.3228966230036007,0.10426222914712946,0.1550215973225648,0.029820799431261164,0.1503047395149348,0.022591514720652406
humble,mischievous,25,100,-1.8170663547515868,0.383365524620435,0.14696912546750135,0.35359540782670534,0.12502971243613406,0.16484801002558594,0.033961213698850176,0.16040010036187205,0.025728192196098624
humble,moderate,25,100,2.741963175535202,0.4277661453465648,0.18298387510465844,0.39039321536646304,0.1524068626041656,0.1957983276746664,0.04645793100481717,0.18760437701817256,0.03519540227637664
humble,mystical,25,100,0.21928787857294083,0.42978389663174504,0.1847141978039665,0.42626309088631187,0.18170022265195215,0.09264934018394105,0.011246456106737133,0.09230407631900056,0.00852004250510388
humble,naive,25,100,-1.5121055582165719,0.5260029303761321,0.2766790827642781,0.48435507224031554,0.23459983600492126,0.22459898740448822,0.06492859916254781,0.2217844284409973,0.04918833269889985
humble,narrative,25,100,-0.01521687850356102,0.42389087617263876,0.17968347490240738,0.34678640001689337,0.12026080723667677,0.2371829954285129,0.08324835360823153,0.25113130938154754,0.06306693455169055
humble,neurotic,25,100,-1.8674615299701691,0.45871373306864416,0.21041828890577133,0.4313134199975505,0.18603126626998343,0.1851917121700618,0.03963212053003942,0.1732753119601242,0.030024333734878356
humble,nihilistic,25,100,-0.6570101989805699,0.3567242862278368,0.12725221638475964,0.33850760787214557,0.11458740058732227,0.122085777924119,0.021301052876110144,0.1270321269198481,0.0161371612697804
humble,nonchalant,25,100,-2.5103942203521727,0.4491330309287258,0.2017204794712238,0.40567563553992564,0.16457272127072256,0.21353403710982907,0.05561794967549039,0.2052676554165804,0.04213481036021999
humble,nostalgic,25,100,-0.7223161986470222,0.275596342873791,0.07595334420540817,0.23866323058623146,0.05696013763385668,0.1432922401787503,0.027349438179802198,0.14394190268415585,0.020719271348334994
humble,nurturing,25,100,1.8268310248851776,0.31616078745000975,0.09995764352101025,0.2975900228425934,0.08855982169545527,0.12711324018854286,0.018587517677550857,0.11866529731148603,0.014081452786023374
humble,optimistic,25,100,0.5149387013167143,0.4136250242759273,0.17108566070726144,0.3960010948210331,0.15681686709945683,0.13576807120195206,0.025107482246280354,0.13791598849859907,0.01902081988354571
humble,pacifist,25,100,-1.2215794986486435,0.3153637178061978,0.09945427450854716,0.30871713667097,0.09530627047432239,0.08611784043954235,0.009287616144149606,0.08388130206712921,0.007036072836476975
humble,paranoid,25,100,-1.5425391459465028,0.3763387812226455,0.14163087825214626,0.3363845549835992,0.11315456883151408,0.18223703805466618,0.04211491118849511,0.17862036767642128,0.03190523574885993
humble,passionate,25,100,-0.8912261033058166,0.34615885155128595,0.11982595050730521,0.31704659612905894,0.10051854411702262,0.15325484469280046,0.029506518199853983,0.14951061125778747,0.02235342287867725
humble,passive_aggressive,25,100,-2.54962176322937,0.29726443369278527,0.08836614353869233,0.2622425128152333,0.06877113552764781,0.15350919003609234,0.02861625599568469,0.14723784097477335,0.021678981814912648
humble,patient,25,100,0.44754246801137926,0.1844699354929419,0.034029157100770153,0.1698205268984884,0.02883901135608022,0.07888094891657445,0.008004552837233917,0.07787204363391695,0.006064055179722664
humble,pedantic,25,100,-0.6086557367816567,0.6285078048421968,0.395022060747557,0.5667540509447088,0.3212101542622376,0.277842651370011,0.11028012273111118,0.2890424666438636,0.08354554752356903
humble,pessimistic,25,100,-0.2995298835635185,0.41886366408479603,0.17544676909054086,0.3993608979817367,0.1594891268367791,0.13802144657099974,0.02744365284843665,0.1441896185489804,0.020790646097300476
humble,petty,25,100,-0.8218455570936203,0.3267732979108231,0.10678078822751554,0.31887138223925404,0.10167895841117246,0.09707549742103845,0.010801573694019795,0.09045999322494679,0.00818301037425742
