axis,composite_score,n_total_traits,n_significant_traits,pct_significant_traits,mean_abs_cohen_d,max_abs_cohen_d,mean_exceedance_rate,top_trait,top_direction
chill,17.700327795084263,50,36,0.72,0.491675772085674,1.0137470209775383,0.36526315789473685,empathetic,+
fundamentalist,17.21635574555127,50,39,0.78,0.4414450191166992,1.0678943557567449,0.3408217124006597,data_driven,+
nihilistic,17.1915878623297,50,39,0.78,0.44080994518794103,0.7420185159937365,0.3970985155195682,speculative,+
pedantic,16.983959706011973,50,28,0.56,0.6065699895004276,1.666403211888597,0.38849415204678356,formal,+
goofy,16.83056610096806,50,36,0.72,0.46751572502689054,1.1692195400119652,0.3033187134502924,data_driven,+
humble,16.814024381501465,50,32,0.64,0.5254382619219208,0.8941710802739313,0.38875,spontaneous,+
nostalgic,16.501180928556874,50,39,0.78,0.4231072032963301,0.7597671838098945,0.41512070775228666,entertaining,+
meditative,16.296548730889704,50,34,0.68,0.47931025679087363,1.3018020356794584,0.37791021671826636,verbose,+
problem_solving,15.5981629716029,50,35,0.7,0.4456617991886543,0.7844793465541492,0.40320634920634923,data_driven,+
melodramatic,15.230364789088974,50,33,0.66,0.4615262057299689,1.1852323295106877,0.4162094630515684,inspirational,+
submissive,15.10864641417345,50,35,0.7,0.43167561183352715,0.8013924742282025,0.26568421052631574,spontaneous,+
irreverent,15.01337777244261,50,34,0.68,0.44156993448360615,1.2171672152287671,0.32094771241830056,data_driven,+
materialist,14.924015222772184,50,31,0.62,0.4814198458958769,1.6788652517792666,0.3156706281833618,data_driven,+
competitive,14.857885611372415,50,33,0.66,0.4502389579203762,0.7946996425858172,0.3143824206982101,strategic,+
cynical,14.510338242445654,50,37,0.74,0.3921713038498825,0.702841072593101,0.34437964280069544,skeptical,+
earnest,13.813818545200874,50,31,0.62,0.4456070498451895,1.2587699073204892,0.3270967741935483,data_driven,-
understated,13.614221113369283,50,30,0.6,0.45380737044564273,0.8849607886597656,0.36599999999999994,inspirational,-
accessible,13.426996563429782,50,26,0.52,0.5164229447472993,1.5218303493410588,0.3694489428699955,formal,-
reactive,13.338073902661066,50,32,0.64,0.4168148094581583,1.0677352878650206,0.30156250000000007,data_driven,+
diplomatic,13.127976515600107,50,31,0.62,0.42348311340645506,0.8079430002812067,0.39426711941143183,entertaining,-
