trait,axis,n,mean_delta,cohen_d,t_stat,p_raw,p_adjusted,significant,direction,exceedance_rate
entertaining,dispassionate,100,-0.5532569043338299,-1.3737522083309945,-13.737522083309946,1.1411302760331696e-24,1.8818639639845254e-22,True,-,0.51
inspirational,ethereal,100,0.44434746086597443,1.368742868936221,13.68742868936221,1.4479688090668748e-24,2.346708069867004e-22,True,+,0.67
big_picture,provocative,100,0.5125227407366038,1.364229247629818,13.642292476298179,1.7949480354737826e-24,2.859747717534501e-22,True,+,0.44
agreeable,confrontational,100,-0.3373339343070984,-1.3629536708830376,-13.629536708830377,1.9073687010917267e-24,2.988210965043705e-22,True,-,0.4
empathetic,narrative,100,0.4029362846910953,1.362111086658709,13.62111086658709,1.9854826657524152e-24,3.059596239028312e-22,True,+,0.52
anxious,condescending,100,0.3676891383528709,1.3611548870319647,13.611548870319647,2.0780315612757566e-24,3.150563979998728e-22,True,+,0.51
speculative,whimsical,100,0.4351522146165371,1.3579405044252664,13.579405044252663,2.422129153277281e-24,3.613970482667689e-22,True,+,0.54
data_driven,elitist,100,0.7989546298980713,1.3537909451841494,13.537909451841495,2.952401249482944e-24,4.336339335178074e-22,True,+,0.65
inspirational,witty,100,0.42425875782966616,1.3531385436830239,13.53138543683024,3.0457933724177794e-24,4.404685800111866e-22,True,+,0.61
empathetic,entertaining,100,0.38137749798595905,1.3526008800602145,13.526008800602144,3.1249880035018358e-24,4.450740489835948e-22,True,+,0.54
entertaining,solemn,100,-0.6383103501796722,-1.3515145253281637,-13.515145253281638,3.2913722222144795e-24,4.617746102808374e-22,True,-,0.53
playful,dispassionate,100,-0.5295824064314365,-1.3496025176729696,-13.496025176729697,3.606130341973933e-24,4.984944884493379e-22,True,-,0.48
data_driven,wry,100,0.7159053683280945,1.3485848691012303,13.485848691012302,3.7858156774982926e-24,5.157488024417965e-22,True,+,0.76
inspirational,detached,100,-0.5356295058131217,-1.3480617977944616,-13.480617977944615,3.881646971618146e-24,5.212497361887224e-22,True,-,0.62
speculative,provocative,100,0.7125851759314537,1.3420646671835486,13.420646671835485,5.1710736876775414e-24,6.846210234389985e-22,True,+,0.5
big_picture,subversive,100,0.5205218994617462,1.3412916092782237,13.412916092782236,5.365990828557739e-24,7.005599137283715e-22,True,+,0.44
inspirational,gregarious,100,0.43023312360048294,1.3377215181240978,13.37721518124098,6.3664284138580045e-24,8.197866724693869e-22,True,+,0.69
empathetic,emotional,100,0.4967637050151825,1.3334526355050171,13.334526355050173,7.811814456722377e-24,9.923115661241939e-22,True,+,0.53
skeptical,condescending,100,0.4123265767097473,1.329688722299879,13.296887222998791,9.357652079562697e-24,1.1728257273051913e-21,True,+,0.56
inspirational,adventurous,100,0.4536582250893116,1.3271680639312078,13.271680639312079,1.0561292531957269e-23,1.3062651289526096e-21,True,+,0.7
inspirational,pacifist,100,0.49397478744387624,1.322975086181293,13.229750861812931,1.2918014868864886e-23,1.5770044125627263e-21,True,+,0.65
verbose,whimsical,100,0.35882339790463447,1.3211754393461919,13.211754393461916,1.408531725386135e-23,1.6974613100807267e-21,True,+,0.53
formal,esoteric,100,0.3683201864361763,1.3198625581093035,13.198625581093037,1.500322616756144e-23,1.785193999684526e-21,True,+,0.54
empathetic,empathetic,100,0.5268478104472161,1.3187359155262774,13.187359155262774,1.5838699628680883e-23,1.861047206370004e-21,True,+,0.63
entertaining,flirty,100,0.3832324969768524,1.3170135465032848,13.170135465032848,1.720718541446623e-23,1.996883245629414e-21,True,+,0.67
verbose,metaphorical,100,0.39143758788704874,1.3164469672377266,13.164469672377267,1.7682835402717788e-23,2.027056741287161e-21,True,+,0.5
playful,condescending,100,0.4913730904459953,1.3150450419898598,13.150450419898599,1.8917325782633923e-23,2.1274602505308423e-21,True,+,0.58
inspirational,enigmatic,100,0.46258838087320325,1.3149420641536809,13.149420641536807,1.9011346919637315e-23,2.1274602505308423e-21,True,+,0.67
empathetic,forgiving,100,0.3442127925157547,1.3127037642511208,13.127037642511208,2.117506946954279e-23,2.341713564867085e-21,True,+,0.4
entertaining,mischievous,100,0.3946803224086761,1.3121854393152748,13.121854393152748,2.1710425347858993e-23,2.3729999798822618e-21,True,+,0.56
speculative,metaphorical,100,0.47036838516592977,1.3114900232795135,13.114900232795133,2.2450111447950294e-23,2.4131381370766187e-21,True,+,0.56
narrative,entertaining,100,0.38158920526504514,1.311360105753253,13.11360105753253,2.2591080432206643e-23,2.4131381370766187e-21,True,+,0.51
