trait,axis,n,mean_delta,cohen_d,t_stat,p_raw,p_adjusted,significant,direction,exceedance_rate
entertaining,dispassionate,100,-0.5144378496706485,-1.6707429834698726,-16.707429834698726,1.4377003084407318e-30,2.937909325944104e-28,True,-,0.58
playful,sycophantic,100,0.542923287153244,1.6528228096016362,16.52822809601636,3.1634817570739584e-30,6.326963514147917e-28,True,+,0.65
playful,detached,100,-0.7188724753260612,-1.6512829806804006,-16.512829806804007,3.385927563602834e-30,6.63077481205555e-28,True,-,0.85
entertaining,emotional,100,0.5795226834714413,1.6401907790368921,16.401907790368924,5.529122937431882e-30,1.053431973701785e-27,True,+,0.71
playful,reserved,100,-0.5018960452079773,-1.6398895950230474,-16.398895950230475,5.603361562243537e-30,1.053431973701785e-27,True,-,0.7
casual,flippant,100,0.5459561693668366,1.6350282987208757,16.350282987208757,6.950412513432976e-30,1.2810564240445093e-27,True,+,0.55
playful,serious,100,-1.1543945235013962,-1.6297055519947443,-16.297055519947442,8.802432966971702e-30,1.5912090363371923e-27,True,-,0.8
entertaining,spontaneous,100,0.6513245275616646,1.628683074376261,16.28683074376261,9.211451679987429e-30,1.633729165884563e-27,True,+,0.73
pessimistic,condescending,100,0.5240900793671608,1.6230437565320404,16.230437565320404,1.1836502178621367e-29,2.060428157019275e-27,True,+,0.69
playful,innovative,100,0.3354823415353894,1.6221694222000214,16.221694222000213,1.2306156220466211e-29,2.1032339722251342e-27,True,+,0.51
playful,chaotic,100,0.3812177364528179,1.6172282449221747,16.172282449221747,1.5335707460381425e-29,2.5742080379925963e-27,True,+,0.6
entertaining,playful,100,0.7750793974101543,1.6150993456933127,16.15099345693313,1.6862664595442238e-29,2.780860477143106e-27,True,+,0.73
playful,rhetorical,100,0.5169610878825188,1.6099610978177827,16.09961097817783,2.1209072176117917e-29,3.437332387163938e-27,True,+,0.7
playful,hedonistic,100,0.657647790312767,1.6075298549704264,16.075298549704264,2.3642709499385288e-29,3.766804564308842e-27,True,+,0.71
entertaining,sycophantic,100,0.39985967226326463,1.5946361161888143,15.946361161888142,4.211401098434196e-29,6.575748629632054e-27,True,+,0.51
playful,solemn,100,-1.1008583050966263,-1.5943424801674893,-15.943424801674894,4.267241131995269e-29,6.575748629632054e-27,True,-,0.72
playful,stream_of_consciousness,100,0.6936170367896557,1.5840037402463345,15.840037402463345,6.789927722703991e-29,1.0294406547325406e-26,True,+,0.82
entertaining,narrative,100,0.6677095205336809,1.5827388018343311,15.827388018343312,7.187622206039623e-29,1.0724388688376579e-26,True,+,0.71
playful,accommodating,100,0.3968834573030472,1.5785086055579247,15.785086055579248,8.695954645055325e-29,1.2628694590912668e-26,True,+,0.67
entertaining,subversive,100,0.5763381001353264,1.5784152603038424,15.784152603038423,8.732607961801313e-29,1.2628694590912668e-26,True,+,0.51
playful,traditional,100,-0.32067893132567404,-1.5771577099760394,-15.771577099760396,9.241828733689521e-29,1.3162604560103257e-26,True,-,0.57
playful,mercurial,100,0.7829299032688141,1.5720527954661292,15.72052795466129,1.1634947161871332e-28,1.632365721217769e-26,True,+,0.76
casual,spontaneous,100,0.41530117839574815,1.5712979593327512,15.712979593327512,1.2038263864504682e-28,1.6586773099696882e-26,True,+,0.55
playful,impatient,100,0.622254588007927,1.5709662214656062,15.70966221465606,1.2219936395028064e-28,1.6586773099696882e-26,True,+,0.69
playful,effusive,100,0.6700892540812492,1.570728435308455,15.70728435308455,1.2351852308284912e-28,1.6586773099696882e-26,True,+,0.67
casual,accommodating,100,0.2874031138420105,1.5657343080207802,15.657343080207802,1.547893893485115e-28,2.0493243096845184e-26,True,+,0.52
entertaining,witty,100,0.5727850544452667,1.564799182379239,15.647991823792392,1.6147598807290723e-28,2.1081587331740664e-26,True,+,0.68
entertaining,gregarious,100,0.4631229989975691,1.5642344041122807,15.642344041122806,1.6565442231861217e-28,2.133084342184869e-26,True,+,0.7
anxious,forgiving,100,0.2989070984721184,1.5618332971834645,15.618332971834645,1.8466821326311197e-28,2.3457854117206116e-26,True,+,0.47
playful,narrative,100,0.7697432830929756,1.5578473750676967,15.578473750676968,2.212059001966704e-28,2.772447282464936e-26,True,+,0.81
speculative,condescending,98,0.4091889608879479,1.5577045676905703,15.420488480589665,7.705909969149574e-28,8.42273880348907e-26,True,+,0.6020408163265306
casual,mercurial,100,0.4560425674915314,1.556865277463292,15.568652774632922,2.3127470610308537e-28,2.8605029439065824e-26,True,+,0.54
casual,pedantic,100,-0.5832436990737915,-1.5553131914915828,-15.553131914915827,2.4813598901242714e-28,3.029192593138721e-26,True,-,0.65
pessimistic,dispassionate,100,-0.4368677716702223,-1.5530482954563216,-15.530482954563215,2.749859260133621e-28,3.3139329545200044e-26,True,-,0.54
playful,stoic,100,-0.7856564766168594,-1.5504292700311666,-15.504292700311664,3.097008839439003e-28,3.6850484924970417e-26,True,-,0.75
casual,humble,100,0.295347363948822,1.549705835558555,15.497058355585548,3.200448948837344e-28,3.7605275148838795e-26,True,+,0.5
playful,casual,100,1.053770135641098,1.5491661760067514,15.491661760067515,3.2798695416516424e-28,3.806268356978449e-26,True,+,0.79
pessimistic,entertaining,100,0.6049953220784664,1.5470370993092135,15.470370993092134,3.613028756834009e-28,4.141764672468254e-26,True,+,0.68
concise,concise,74,0.7056359737306028,1.5431608934530376,13.27477194486314,3.782022114187404e-21,1.1733005898799207e-19,True,+,0.7567567567567568
playful,creative,100,0.44263670086860657,1.5425818419287112,15.425818419287113,4.424557481428243e-28,5.010944617521143e-26,True,+,0.61
casual,witty,100,0.39327080428600314,1.538828530298257,15.388285302982569,5.249122525156544e-28,5.874018063865657e-26,True,+,0.49
playful,poetic,100,0.42241583198308946,1.533676334346754,15.336763343467542,6.6387774338135815e-28,7.341706809158549e-26,True,+,0.68
playful,formal,100,-1.0696542435884475,-1.5249556919409375,-15.249556919409375,9.8869216166803e-28,1.0682421057102854e-25,True,-,0.8
entertaining,animated,100,0.3901174063980579,1.5242207340726557,15.242207340726557,1.0224863486000183e-27,1.092201326913656e-25,True,+,0.68
playful,provocative,100,0.44929058507084846,1.5192813881686411,15.192813881686412,1.2818257231249803e-27,1.3538384041994173e-25,True,+,0.45
concise,verbose,74,-0.674990937516496,-1.5153949216722056,-13.035920024248895,9.656582004191272e-21,2.677636307946842e-19,True,-,0.7432432432432432
playful,metaphorical,100,0.5934494733810425,1.512503362321274,15.125033623212742,1.7488677972043464e-27,1.8265952548578729e-25,True,+,0.73
anxious,empathetic,100,0.525277353823185,1.5074462762352792,15.074462762352791,2.2059019461096673e-27,2.278623988289107e-25,True,+,0.63
entertaining,passionate,100,0.4662056243419647,1.5015974606474898,15.015974606474897,2.886493390805672e-27,2.9492432471275346e-25,True,+,0.68
casual,sycophantic,100,0.2733114920556545,1.4909247409684037,14.909247409684037,4.7199963763144086e-27,4.77074902552209e-25,True,+,0.37
entertaining,risk_taking,100,0.4188674764335156,1.4890915514335683,14.890915514335681,5.1367217223220564e-27,5.136721722322057e-25,True,+,0.46
casual,subversive,100,0.364418628513813,1.4888466650566523,14.888466650566523,5.195123449771998e-27,5.140437939774398e-25,True,+,0.41
formal,epicurean,100,0.3405515843629837,1.4878013233205738,14.878013233205738,5.452026197681917e-27,5.338442318563544e-25,True,+,0.47
casual,socratic,100,0.31602310717105864,1.486224819410006,14.86224819410006,5.863840957845099e-27,5.6824850519323635e-25,True,+,0.34
playful,forgiving,100,0.4088236194849014,1.4854992859529412,14.854992859529412,6.063740187081164e-27,5.816240587608463e-25,True,+,0.6
