axis,composite_score,n_total_traits,n_significant_traits,pct_significant_traits,mean_abs_cohen_d,max_abs_cohen_d,mean_exceedance_rate,top_trait,top_direction
philosophical,26.65886398059249,50,42,0.84,0.6347348566807736,1.3453097167668802,0.2642693478407764,speculative,+
mischievous,26.53140033982436,50,47,0.94,0.564497879570731,1.7060318638172567,0.32781089078961423,playful,+
relativist,26.382345517451427,50,44,0.88,0.5995987617602597,1.0577913278279394,0.26671925116730305,stoic,+
hedonistic,26.14810957464895,50,43,0.86,0.6080955715034639,1.6075298549704264,0.37468693907232115,playful,+
flippant,26.137374019850913,50,41,0.82,0.6374969273134369,1.6350282987208757,0.38648457589224144,casual,+
spiritual,26.032207789407305,50,46,0.92,0.5659175606392892,1.1448125240764202,0.19739911711961405,stoic,+
futuristic,25.63075717663335,50,46,0.92,0.5571903734050728,1.225753575118297,0.2887194928809835,playful,+
conscientious,25.606588510185933,50,38,0.76,0.673857592373314,1.7079923654414475,0.39505304151920695,casual,-
confident,25.518899545058865,50,40,0.8,0.6379724886264716,1.266331585262854,0.4785753600753602,casual,-
eclectic,25.313143338430873,50,44,0.88,0.5752987122370653,1.2395824431341642,0.41504517488283726,speculative,+
qualitative,25.30247306776606,50,44,0.88,0.5750562060855923,1.099190610190499,0.27561277009328955,pessimistic,+
grandiose,25.236923846717506,50,43,0.86,0.5869052057376164,1.2268863384139892,0.32493729211337186,stoic,+
absolutist,24.915104975151902,50,47,0.94,0.5301086164925937,1.0194117293570255,0.3584110247940036,pessimistic,-
essentialist,24.700531054041484,50,45,0.9,0.5489006900898108,1.0771737816801201,0.33138794329270527,pessimistic,-
adventurous,24.642676049152914,50,41,0.82,0.601040879247632,1.733358781998573,0.35820454032997584,playful,+
mystical,24.472675949753253,50,43,0.86,0.569131998831471,1.105197146574508,0.18788546263629324,stoic,+
libertarian,23.82051510823316,50,46,0.92,0.5178372849615904,1.1038703301531056,0.3023192609528013,playful,+
historical,23.648799551024428,50,49,0.98,0.48262856226580464,0.9438679903894601,0.24825094568534803,playful,+
ascetic,23.609954952194357,50,41,0.82,0.5758525598096185,1.4141823671106766,0.18443810889803927,playful,-
pedantic,23.45428481124862,50,41,0.82,0.5720557271036248,1.5553131914915828,0.42743501008309376,casual,-
