axis,composite_score,n_total_traits,n_significant_traits,pct_significant_traits,mean_abs_cohen_d,max_abs_cohen_d,mean_exceedance_rate,top_trait,top_direction
solemn,26.454829103449665,51,43,0.8431372549019608,0.615228583801155,1.2810352735974386,0.42009631195677705,skeptical,-
detached,25.916203849762418,51,41,0.803921568627451,0.6321025329210346,1.3938532254529115,0.4332840601133284,empathetic,-
disorganized,25.66974293332686,51,42,0.8235294117647058,0.6111843555554014,1.3101449894687704,0.32957190957190957,skeptical,+
decisive,25.488579475346448,51,38,0.7450980392156863,0.6707520914564855,1.1212175949911825,0.2979665071770335,skeptical,-
rebellious,25.4516123131315,51,42,0.8235294117647058,0.6059907693602737,1.2093609366409273,0.35399230399230397,pessimistic,+
inquisitive,24.989307651144227,51,41,0.803921568627451,0.6094953085644933,1.1341129615274899,0.3439591032273959,skeptical,+
stream_of_consciousness,24.723188191432534,51,41,0.803921568627451,0.6030045900349399,1.130115179369524,0.44303276669130326,empathetic,+
passionate,24.670820293009047,51,41,0.803921568627451,0.6017273242197329,1.0544053725844147,0.4233062330623306,empathetic,+
creative,24.544046868526088,51,50,0.9803921568627451,0.49088093737052174,1.0743105042365007,0.3257858585858586,entertaining,+
artistic,23.70678221429187,51,41,0.803921568627451,0.5782142003485822,1.0819760572864783,0.278640059127864,inspirational,+
stoic,23.69036519130281,51,44,0.8627450980392157,0.5384173907114275,1.13692147704737,0.3778145087235996,empathetic,-
mercurial,23.261247729069737,51,42,0.8235294117647058,0.5538392316445175,1.1173593347537072,0.3624603174603174,skeptical,+
urgent,23.16757102109485,51,40,0.7843137254901961,0.5791892755273713,1.344254638957372,0.3683358585858586,cautious,-
extroverted,23.15616359215134,51,45,0.8823529411764706,0.5145814131589187,1.0185241511722656,0.35818630751964087,entertaining,+
traditional,23.097999636663438,51,45,0.8823529411764706,0.5132888808147431,1.074997898300016,0.3435218855218855,inspirational,-
socratic,23.090463327893332,51,40,0.7843137254901961,0.5772615831973333,1.1301431701214086,0.29956313131313134,skeptical,+
essentialist,23.00945360947001,51,42,0.8235294117647058,0.5478441335588098,1.0461376693174602,0.33555315055315055,pessimistic,-
pacifist,22.802767143460798,51,43,0.8431372549019608,0.5302969103130418,1.025058465056912,0.28960065774019267,inspirational,+
humble,22.674669337982,51,39,0.7647058823529411,0.5814017778969743,1.3314326818641105,0.43497539497539495,anxious,+
deconstructionist,22.656944795297086,51,49,0.9607843137254902,0.46238662847545076,1.0151261147031385,0.3805607091321377,pessimistic,+
dramatic,22.55436829221745,51,47,0.9215686274509803,0.4798801764301585,1.1250856161014335,0.303157102944337,inspirational,+
